date,value
2018-07-21,26.7857142857
2018-07-22,26.7857142857
2018-07-23,26.7857142857
2018-07-24,26.7857142857
2018-07-25,26.7857142857
2018-07-26,27.1103896104
2018-07-27,27.1103896104
2018-07-28,27.1103896104
2018-07-29,27.1103896104
2018-07-30,27.1103896104
2018-07-31,27.4350649351
2018-08-01,27.7597402597
2018-08-02,28.0844155844
2018-08-03,28.4090909091
2018-08-04,28.7337662338
2018-08-05,28.7337662338
2018-08-06,29.7077922078
2018-08-07,29.7077922078
2018-08-08,30.0324675325
2018-08-09,30.6818181818
2018-08-10,30.6818181818
2018-08-11,31.0064935065
2018-08-12,31.3311688312
2018-08-13,31.6558441558
2018-08-14,31.6558441558
2018-08-15,32.3051948052
2018-08-16,32.6298701299
2018-08-17,33.6038961039
2018-08-18,34.5779220779
2018-08-19,34.9025974026
2018-08-20,35.5519480519
2018-08-21,35.8766233766
2018-08-22,36.525974026
2018-08-23,37.8246753247
2018-08-24,38.1493506494
2018-08-25,38.474025974
2018-08-26,38.7987012987
2018-08-27,39.1233766234
2018-08-28,39.7727272727
2018-08-29,40.0974025974
2018-08-30,40.7467532468
2018-08-31,41.3961038961
2018-09-01,41.7207792208
2018-09-02,42.0454545455
2018-09-03,42.6948051948
2018-09-04,43.3441558442
2018-09-05,43.6688311688
2018-09-06,44.6428571429
2018-09-07,44.9675324675
2018-09-08,45.2922077922
2018-09-09,45.6168831169
2018-09-10,45.6168831169
2018-09-11,45.9415584416
2018-09-12,46.5909090909
2018-09-13,46.5909090909
2018-09-14,46.5909090909
2018-09-15,46.5909090909
2018-09-16,46.9155844156
2018-09-17,47.2402597403
2018-09-18,47.2402597403
2018-09-19,47.2402597403
2018-09-20,47.5649350649
2018-09-21,47.5649350649
2018-09-22,47.8896103896
2018-09-23,48.538961039
2018-09-24,48.538961039
2018-09-25,48.538961039
2018-09-26,48.538961039
2018-09-27,48.538961039
2018-09-28,48.538961039
2018-09-29,48.538961039
2018-09-30,48.8636363636
2018-10-01,48.8636363636
2018-10-02,48.8636363636
2018-10-03,49.1883116883
2018-10-04,49.1883116883
2018-10-05,49.8376623377
2018-10-06,49.8376623377
2018-10-07,51.1363636364
2018-10-08,51.7857142857
2018-10-09,52.1103896104
2018-10-10,52.4350649351
2018-10-11,52.7597402597
2018-10-12,53.0844155844
2018-10-13,53.7337662338
2018-10-14,54.0584415584
2018-10-15,54.7077922078
2018-10-16,55.3571428571
2018-10-17,55.6818181818
2018-10-18,56.0064935065
2018-10-19,56.6558441558
2018-10-20,57.3051948052
2018-10-21,57.9545454545
2018-10-22,58.2792207792
2018-10-23,58.2792207792
2018-10-24,58.6038961039
2018-10-25,59.5779220779
2018-10-26,59.9025974026
2018-10-27,60.5519480519
2018-10-28,60.5519480519
2018-10-29,60.8766233766
2018-10-30,61.2012987013
2018-10-31,61.2012987013
2018-11-01,61.525974026
2018-11-02,62.5
2018-11-03,62.8246753247
2018-11-04,63.474025974
2018-11-05,63.1493506494
2018-11-06,63.1493506494
2018-11-07,63.1493506494
2018-11-08,62.5
2018-11-09,62.1753246753
2018-11-10,61.8506493506
2018-11-11,61.525974026
2018-11-12,61.525974026
2018-11-13,61.525974026
2018-11-14,61.2012987013
2018-11-15,60.5519480519
2018-11-16,59.5779220779
2018-11-17,59.5779220779
2018-11-18,59.5779220779
2018-11-19,59.2532467532
2018-11-20,58.9285714286
2018-11-21,58.9285714286
2018-11-22,58.9285714286
2018-11-23,58.9285714286
2018-11-24,58.6038961039
2018-11-25,58.2792207792
2018-11-26,57.9545454545
2018-11-27,57.9545454545
2018-11-28,57.6298701299
2018-11-29,57.6298701299
2018-11-30,56.9805194805
2018-12-01,56.6558441558
2018-12-02,56.3311688312
2018-12-03,56.0064935065
2018-12-04,55.3571428571
2018-12-05,54.7077922078
2018-12-06,54.7077922078
2018-12-07,53.4090909091
2018-12-08,53.0844155844
2018-12-09,52.7597402597
2018-12-10,52.4350649351
2018-12-11,52.1103896104
2018-12-12,51.461038961
2018-12-13,51.1363636364
2018-12-14,50.487012987
2018-12-15,49.8376623377
2018-12-16,49.1883116883
2018-12-17,48.538961039
2018-12-18,48.2142857143
2018-12-19,47.8896103896
2018-12-20,47.2402597403
2018-12-21,46.2662337662
2018-12-22,45.9415584416
2018-12-23,45.6168831169
2018-12-24,45.2922077922
2018-12-25,44.9675324675
2018-12-26,44.6428571429
2018-12-27,44.3181818182
2018-12-28,43.9935064935
2018-12-29,43.6688311688
2018-12-30,43.0194805195
2018-12-31,42.6948051948
2019-01-01,42.3701298701
2019-01-02,42.0454545455
2019-01-03,41.7207792208
2019-01-04,41.3961038961
2019-01-05,40.4220779221
2019-01-06,39.7727272727
2019-01-07,39.1233766234
2019-01-08,38.474025974
2019-01-09,37.1753246753
2019-01-10,36.8506493506
2019-01-11,36.525974026
2019-01-12,35.8766233766
2019-01-13,35.2272727273
2019-01-14,34.5779220779
2019-01-15,33.6038961039
2019-01-16,32.9545454545
2019-01-17,31.9805194805
2019-01-18,31.6558441558
2019-01-19,31.3311688312
2019-01-20,31.0064935065
2019-01-21,31.0064935065
2019-01-22,30.6818181818
2019-01-23,30.3571428571
2019-01-24,30.0324675325
2019-01-25,29.7077922078
2019-01-26,29.3831168831
2019-01-27,29.0584415584
2019-01-28,28.4090909091
2019-01-29,28.0844155844
2019-01-30,27.7597402597
2019-01-31,27.4350649351
2019-02-01,27.1103896104
2019-02-02,26.461038961
2019-02-03,26.1363636364
2019-02-04,26.1363636364
2019-02-05,26.1363636364
2019-02-06,25.8116883117
2019-02-07,25.487012987
2019-02-08,25.1623376623
2019-02-09,24.8376623377
2019-02-10,24.512987013
2019-02-11,24.1883116883
2019-02-12,23.2142857143
2019-02-13,22.5649350649
2019-02-14,21.9155844156
2019-02-15,21.2662337662
2019-02-16,20.9415584416
2019-02-17,20.6168831169
2019-02-18,20.2922077922
2019-02-19,19.9675324675
2019-02-20,19.6428571429
2019-02-21,19.6428571429
2019-02-22,19.3181818182
2019-02-23,19.3181818182
2019-02-24,19.3181818182
2019-02-25,18.9935064935
2019-02-26,18.9935064935
2019-02-27,18.6688311688
2019-02-28,18.6688311688
2019-03-01,18.6688311688
2019-03-02,18.6688311688
2019-03-03,18.3441558442
2019-03-04,18.3441558442
2019-03-05,18.0194805195
2019-03-06,18.0194805195
2019-03-07,17.6948051948
2019-03-08,17.6948051948
2019-03-09,17.6948051948
2019-03-10,17.6948051948
2019-03-11,17.6948051948
2019-03-12,17.6948051948
2019-03-13,17.6948051948
2019-03-14,17.6948051948
2019-03-15,17.6948051948
2019-03-16,17.6948051948
2019-03-17,17.6948051948
2019-03-18,17.6948051948
2019-03-19,17.3701298701
2019-03-20,17.3701298701
2019-03-21,17.3701298701
2019-03-22,17.3701298701
2019-03-23,17.3701298701
2019-03-24,17.3701298701
2019-03-25,17.6948051948
2019-03-26,17.6948051948
2019-03-27,18.3441558442
2019-03-28,18.3441558442
2019-03-29,18.3441558442
2019-03-30,18.3441558442
2019-03-31,18.3441558442
